H,1510576390070,H,1510576390829
E,1510576390847,E,1510576390866
L,1510576390991,L,1510576391067
L,1510576391131,L,1510576391207
O,1510576391305,O,1510576391366
Space,1510576392217,Space,1510576392280
W,1510576392403,W,1510576392543
O,1510576392684,O,1510576392775
R,1510576393026,R,1510576393087
L,1510576394012,L,1510576394068
R,1510576394797,R,1510576394876
D,1510576394989,D,1510576395117
Caps Lock,1510576550715,Caps Lock,1510576555085
U,1510576556781,U,1510576556974
Caps Lock,1510576556980,Caps Lock,1510576556985
P,1510576556991,P,1510576556999
D,1510576557005,D,1510576557010
A,1510576557016,T,1510576557021,A,1510576557026
T,1510576557034
E,1510576557039,E,1510576557792
Caps Lock,1510576557800,Caps Lock,1510576557805
H,1510576557810,H,1510576557814
Caps Lock,1510576557819,Caps Lock,1510576557824
I,1510576557832,I,1510576557837
Comma,1510576557842,Comma,1510576557847
